# id, angle, x, y, z
17506 0.000000 11.148000 -0.193000 2.686000
16902 0.000000 11.157000 -1.682000 2.685000
17398 0.000000 11.165000 -3.397000 2.679000
8454 0.000000 11.166000 -4.895000 2.675000
17456 0.000000 11.151000 -6.596000 2.681000
17444 0.000000 11.165000 -8.077000 2.676000
17394 0.000000 11.168000 -9.796000 2.679000
17446 0.000000 11.170000 -11.282000 2.678000
17458 0.000000 11.154000 -13.009000 2.677000
17460 0.000000 11.171000 -14.485000 2.676000
17478 0.000000 8.338000 -0.197000 2.689000
17488 0.000000 8.338000 -1.684000 2.686000
17440 0.000000 8.350000 -3.400000 2.684000
17510 0.000000 8.347000 -4.888000 2.678000
24612 0.000000 8.348000 -6.594000 2.676000
17430 0.000000 8.349000 -8.088000 2.674000
17410 0.000000 8.360000 -9.786000 2.676000
17408 0.000000 8.357000 -11.288000 2.673000
17396 0.000000 8.360000 -12.993000 2.677000
17442 0.000000 8.361000 -14.489000 2.673000
17474 0.000000 6.464000 -0.197000 2.688000
17490 0.000000 6.466000 -1.692000 2.688000
17492 0.000000 6.469000 -3.406000 2.685000
24596 0.000000 6.471000 -4.893000 2.676000
17494 0.000000 6.470000 -6.605000 2.676000
17504 0.000000 6.475000 -8.092000 2.672000
17414 0.000000 6.474000 -9.812000 2.673000
8326 0.000000 6.476000 -11.296000 2.671000
17412 0.000000 6.477000 -13.000000 2.671000
17472 0.000000 6.488000 -14.499000 2.675000
17476 0.000000 3.424000 -0.204000 2.685000
17424 0.000000 3.431000 -1.693000 2.685000
17520 0.000000 3.432000 -3.408000 2.678000
17462 0.000000 3.432000 -4.895000 2.676000
17522 0.000000 3.433000 -6.612000 2.672000
17536 0.000000 3.437000 -8.095000 2.669000
17524 0.000000 3.442000 -9.806000 2.675000
24708 0.000000 3.445000 -11.299000 2.671000
17538 0.000000 3.435000 -12.969000 2.671000
